number,issue_date,department,applies_to,meant_for,subject,path
RBI/2026-27/139,2026-06-17,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Interest Rate on Deposits) Amendment Directions, 2026",
RBI/2026-27/138,2026-06-17,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Interest Rate on Deposits) Amendment Directions, 2026",
RBI/2026-27/137,2026-06-16,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Capital Adequacy) Sixth Amendment Directions, 2026",
RBI/2026-27/136,2026-06-16,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Prudential Norms on Capital Adequacy) Third Amendment Directions, 2026",
RBI/2026-27/135,2026-06-16,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2026-27/134,2026-06-16,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2026-27/132,2026-06-16,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks- Prudential Norms on Capital Adequacy) Ninth Amendment Directions, 2026",
RBI/2026-27/133,2026-06-16,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Prudential Norms on Capital Adequacy) Third Amendment Directions, 2026",
RBI/DPSS/2026-27/401,2026-06-15,DPSS,,,Master Directions on Authorisation to operate a Payment System,
RBI/DoR/2026-27/131,2026-06-15,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Undertaking of Financial Services) Second Amendment Directions, 2026",
RBI/DoR/2026-27/130,2026-06-15,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Undertaking of Financial Services) Second Amendment Directions, 2026",
RBI/DoR/2026-27/129,2026-06-15,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Undertaking of Financial Services) Second Amendment Directions, 2026",
RBI/DoR/2026-27/128,2026-06-15,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Undertaking of Financial Services) Second Amendment Directions, 2026",
RBI/DoR/2026-27/127,2026-06-15,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks – Undertaking of Financial Services) Amendment Directions, 2026",
RBI/DoR/2026-27/126,2026-06-15,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Undertaking of Financial Services) Second Amendment Directions, 2026",
RBI/DoR/2026-27/125,2026-06-15,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) Third Amendment Directions, 2026",
RBI/2026-27/124,2026-06-15,DOR,Housing Finance Companies,,"Reserve Bank of India (Housing Finance Companies) Second Amendment Directions, 2026",
RBI/2026-27/121,2026-06-15,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/122,2026-06-15,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/123,2026-06-15,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/120,2026-06-15,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/118,2026-06-15,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/119,2026-06-15,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/117,2026-06-15,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/116,2026-06-15,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/115,2026-06-15,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Responsible Business Conduct) Second Amendment Directions, 2026",
RBI/2026-27/114,2026-06-15,AP-DIR,,All Category – I Authorised Dealer Banks,"Liberalisation of Foreign Portfolio Investment under Schedule III of the Foreign Exchange Management (Non-debt Instruments) Rules, 2019",
RBI/2026-27/113,2026-06-10,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Credit Facilities) Amendment Directions, 2026",
RBI/2026-27/112,2026-06-10,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Facilities) Second Amendment Directions, 2026",
RBI/2026-27/111,2026-06-10,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Eighth Amendment Directions, 2026",
RBI/2026-27/110,2026-06-10,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Concentration Risk Management) Third Amendment Directions, 2026",
RBI/2026-27/109,2026-06-10,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Facilities) Third Amendment Directions, 2026",
RBI/2026-27/108,2026-06-09,DCM,All Banks,The Chairman / Managing Director / Chief Executive Officer All Banks,Withdrawal of old series of banknotes issued prior to 2005: Consolidation of instructions,
RBI/2026-27/107,2026-06-09,DCM,All Banks,The Chairman / Managing Director / Chief Executive Officer All Banks,Withdrawal of ₹2000 Denomination Banknotes from circulation: Consolidation of instructions,
RBI/2026-27/106,2026-06-08,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Second Amendment Directions, 2026",
RBI/2026-27/105,2026-06-08,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Second Amendment Directions, 2026",
RBI/2026-27/104,2026-06-08,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Second Amendment Directions, 2026",
RBI/2026-27/102,2026-06-08,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Second Amendment Directions, 2026",
RBI/2026-27/103,2026-06-08,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Second Amendment Directions, 2026",
RBI/2026-27/101,2026-06-08,AP-DIR,Authorised Dealers (Category-I),"To, All Authorised Dealer Category-I Banks",NOP-INR position of Authorised Dealer Category-I banks,
RBI/2026-27/100,2026-06-08,FMOD,Authorised Dealers (Category-I),All Authorised Dealer Category-I Banks,Swap Facility for External Commercial Borrowings and Overseas Foreign Currency Borrowings,
RBI/2026-27/99,2026-06-08,FMOD,Authorised Dealers (Category-I),All Authorised Dealer Category-I Banks,Swap Facility for FCNR (B) Deposits,
RBI/2026-27/98,2026-06-05,AP-DIR,,All Category - I Authorised Dealer Banks,Submission of statement/return on Centralized Information Management System (CIMS),
RBI/2026-27/97,2026-06-05,AP-DIR,Authorised Persons,"To, All Authorised Persons",Investments by Foreign Portfolio Investors in Government Securities – Amendments to the regulatory framework,
RBI/2026-27/96,2026-06-03,FIDD,,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation of new district in the State of Assam – Assignment of Lead Bank Responsibility,
RBI/DOR/2026-27/95,2026-05-25,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks - Governance) Amendment Directions, 2026",
RBI/DOR/2026-27/94,2026-05-25,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks - Governance) Amendment Directions, 2026",
RBI/2026-27/93,2026-05-22,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Removal of 7 Entries",
RBI/2026-27/92,2026-05-18,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Financial Statements: Presentation and Disclosures) Third Amendment Directions, 2026",
RBI/2026-27/91,2026-05-18,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) Sixth Amendment Directions, 2026",
RBI/2026-27/90,2026-05-18,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Prudential Norms on Capital Adequacy) Sixth Amendment Directions, 2026",
RBI/2026-27/88,2026-05-18,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks – Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",
RBI/2026-27/89,2026-05-18,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",
RBI/2026-27/87,2026-05-18,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",
RBI/2026-27/86,2026-05-18,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",
RBI/2026-27/85,2026-05-18,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",
RBI/2026-27/84,2026-05-18,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",
RBI/2026-27/83,2026-05-18,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Classification, Valuation, and Operation of Investment Portfolio) Second Amendment Directions, 2026",
RBI/2026-27/82,2026-05-13,AP-DIR,,All Authorised Dealers,Operating framework for facilitating Outward Remittance services by non- bank entities through Authorized Dealer (Category I) banks in India,
RBI/2026-27/81,2026-05-08,DOR,Payments Banks,,"Reserve Bank of India (Payments Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",
RBI/2026-27/80,2026-05-08,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Capital Adequacy) Fourth Amendment Directions, 2026",
RBI/2026-27/79,2026-05-08,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Fifth Amendment Directions, 2026",
RBI/2026-27/78,2026-05-06,AP-DIR,Authorised Persons,"All Authorised Persons,","Issuance of Foreign Exchange Management (Authorised Persons) Regulations, 2026",
RBI/DGBA/2026-27/400,2026-04-30,DGBA,Agency Banks,,"Reserve Bank of India [Conduct of Government Business by Agency Banks (ABs) – Payment of Agency Commission and Oversight of ABs] Directions, 2026",
RBI/DGBA/2026-27/399,2026-04-30,DGBA,Agency Banks,,"Reserve Bank of India [Disbursement of Government Pension by Agency Banks (ABs)] Directions, 2026 (Updated as on June 24, 2026)",
RBI/2026-27/74,2026-04-29,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/75,2026-04-29,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/73,2026-04-29,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/63,2026-04-29,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/72,2026-04-29,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions– Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/67,2026-04-29,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Cooperative Banks – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/71,2026-04-29,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/62,2026-04-29,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/66,2026-04-29,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Cooperative Banks – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/77,2026-04-29,DOR,,,"Reserve Bank of India (Relief Measures by Banks in Areas affected by Natural Calamities) Directions 2018 – RRBs Repeal Directions, 2026",
RBI/2026-27/70,2026-04-29,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/61,2026-04-29,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/65,2026-04-29,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Cooperative Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/69,2026-04-29,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/76,2026-04-29,DOR,,,"Reserve Bank of India (Relief Measures by Banks in Areas affected by Natural Calamities) Directions 2018 – SCBs Repeal Directions, 2026",
RBI/2026-27/60,2026-04-29,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/64,2026-04-29,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Cooperative Banks – Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/68,2026-04-29,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/59,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/55,2026-04-29,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/58,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/54,2026-04-29,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/51,2026-04-29,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Risk Management) Second Amendment Directions, 2026",
RBI/2026-27/57,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/56,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/50,2026-04-29,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/53,2026-04-29,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/49,2026-04-29,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/47,2026-04-29,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Risk Management) Third Amendment Directions, 2026",
RBI/2026-27/48,2026-04-29,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/52,2026-04-29,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/46,2026-04-29,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Responsible Business Conduct) Amendment Directions, 2026",
RBI/2026-27/45,2026-04-29,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Income Recognition, Asset Classification and Provisioning) Amendment Directions, 2026",
RBI/2026-27/43,2026-04-29,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Registration, Exemptions and Framework for Scale Based Regulation) Amendment Directions, 2026",
RBI/2026-27/42,2026-04-29,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 17 Entries",
RBI/2026-27/44,2026-04-29,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Resolution of Stressed Assets) Second Amendment Directions, 2026",
RBI/2026-27/41,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Financial Statements: Presentation and Disclosures) – Second Amendment Directions, 2026",
RBI/2026-27/40,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Credit Facilities) – Amendment Directions, 2026",
RBI/2026-27/39,2026-04-29,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Concentration Risk Management) – Amendment Directions, 2026",
RBI/2026-27/38,2026-04-27,AP-DIR,Authorised Dealers (Category-I),All Authorised Dealer Category-I Banks,Reporting instructions for Authorised Dealer Category-I Banks,
RBI/2026-27/37,2026-04-27,FMRD,,All participants in Government Securities market,"Master Direction - Reserve Bank of India (Access Criteria for NDS-OM) Directions, 2025",
RBI/DOR/2026-27/398,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Asset Classification, Provisioning and Income Recognition) Directions, 2026",
RBI/2026-27/22,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) – Second Amendment Directions, 2026",
RBI/DOR/2026-27/397,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Capital Charge for Credit Risk – Standardised Approach) Directions, 2026 (Effective from April 1, 2027)",
RBI/DOR/2026-27/36,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Income Recognition, Asset Classification and Provisioning) Repeal Directions, 2026",
RBI/2026-27/25,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Facilities) Second Amendment Directions, 2026",
RBI/2026-27/26,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Risk Management) - Second Amendment Directions, 2026",
RBI/2026-27/21,2026-04-27,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Co-operative Banks – Undertaking of Financial Services) – Amendment Directions, 2026",
RBI/2026-27/35,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures)- Seventh Amendment Directions, 2026",
RBI/2026-27/30,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Asset Liability Management) - Amendment Directions, 2026",
RBI/2026-27/24,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Transfer and Distribution of Credit Risk) Amendment Directions, 2026",
RBI/2026-27/34,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Classification, Valuation, and Operation of Investment Portfolio)- Amendment Directions, 2026",
RBI/2026-27/20,2026-04-27,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Undertaking of Financial Services) – Amendment Directions, 2026",
RBI/2026-27/29,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Credit Cards and Debit Cards: Issuance and Conduct) - Amendment Directions, 2026",
RBI/2026-27/33,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Fourth Amendment Directions, 2026",
RBI/2026-27/19,2026-04-27,DOR,Regional Rural Banks,,"Reserve Bank of India (Regional Rural Banks – Undertaking of Financial Services) – Amendment Directions, 2026",
RBI/2026-27/32,2026-04-27,DOR,Urban Co-operative Banks,,"Reserve Bank of India (Urban Cooperative Banks – Resolution of Stressed Assets)- Amendment Directions, 2026",
RBI/2026-27/23,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Resolution of Stressed Assets) Amendment Directions, 2026",
RBI/2026-27/31,2026-04-27,DOR,,,"Reserve Bank of India (Non-Operative Financial Holding Companies)- Amendment Directions, 2026",
RBI/2026-27/28,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks – Treatment of Wilful Defaulters and Large Defaulters) - Amendment Directions, 2026",
RBI/2026-27/18,2026-04-27,DOR,Rural Co-operative Banks,,"Reserve Bank of India (Rural Co-operative Banks– Undertaking of Financial Services) – Amendment Directions, 2026",
RBI/2026-27/27,2026-04-27,DOR,Commercial Banks,,"Reserve Bank of India (Commercial Banks - Concentration Risk Management) - Second Amendment Directions, 2026",
RBI/2026-27/17,2026-04-27,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies– Undertaking of Financial Services) –Amendment Directions, 2026",
RBI/2026-27/16,2026-04-27,DOR,All India Financial Institutions,,"Reserve Bank of India (All India Financial Institutions – Undertaking of Financial Services) –Amendment Directions, 2026",
RBI/2026-27/15,2026-04-27,DOR,Local Area Banks,,"Reserve Bank of India (Local Area Banks – Miscellaneous) – Amendment Directions, 2026",
RBI/DPSS/2026-27/396,2026-04-21,DPSS,,,"Digital Payments – E-mandate Framework, 2026",
RBI/2026-27/14,2026-04-20,AP-DIR,,"To, All Authorised Dealers",Risk Management and Inter-Bank Dealings,
RBI/2026-27/13,2026-04-17,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 3 Entries",
RBI/2026-2027/11,2026-04-15,DOR,Non-Banking Financial Companies,,"Reserve Bank of India (Non-Banking Financial Companies – Branch Authorisation) Amendment Directions, 2026",
RBI/2026-27/12,2026-04-15,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1988 (2011) Taliban Sanctions List: Amendment of 04 Entries",
RBI/2026-27/10,2026-04-10,AP-DIR,Authorised Dealers (Category-I),All Authorised Dealer Category-I banks,"Master Direction - Reserve Bank of India (Non-resident Investment in Debt Instruments) Directions, 2025 – amendment",
RBI/2026-27/09,2026-04-10,FIDD,,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation of new districts in the State of Andhra Pradesh – Assignment of Lead Bank Responsibility,
RBI/2026-27/08,2026-04-09,DPSS,Commercial Banks,The Chairman / Managing Director / Chief Executive Officer All Scheduled Commercial Banks,Guidelines to facilitate faster cross-border inward payments,
RBI/2026-27/07,2026-04-06,AP-DIR,Authorised Persons,"To, All Authorised Persons",Limits for investment in debt and sale of Credit Default Swaps by Foreign Portfolio Investors (FPIs),
RBI/2026-27/06,2026-04-02,IDMD,,All the Receiving Offices ( as per the list attached ),"Floating Rate Savings Bonds, 2020 (Taxable) - FRSB 2020 (T) - Operational Guidelines",
RBI/2026-27/05,2026-04-02,AP-DIR,Authorised Persons,All Authorised Persons,Memorandum of Instructions governing money changing activities – Location of Forex Counters in International Airports in India,
RBI/2026-27/04,2026-04-01,AP-DIR,,"To, All Authorised Dealers",Risk Management and Inter-Bank Dealings,
RBI/DCM/2026-27/395,2026-04-01,DCM,All Banks,The Chairman/ Managing Director/ Chief Executive Officer All Banks,Master Direction – Facility for Exchange of Notes and Coins,
RBI/DCM/2026-27/394,2026-04-01,DCM,All Banks,The Chairman/ Managing Director/ Chief Executive Officer All Banks,"Master Direction on Counterfeit Notes – Detection, Reporting and Monitoring",
RBI/DCM/2026-27/393,2026-04-01,DCM,All Banks,The Chairman / Managing Director / Chief Executive Officer All banks,Master Direction on Incentives for Currency Distribution and Exchange and Penalties / Penal Provisions for Bank Branches and Currency Chests for Deficiency in Rendering Customer Service and Reporting of Transactions / Balances,
RBI/2026-27/03,2026-04-01,AP-DIR,Authorised Dealers (Category-I),All Authorised Dealer Category I Banks,Overseas Investment – Submission of References to the Reserve Bank,
RBI/2026-27/02,2026-04-01,AP-DIR,Authorised Persons,All Authorised Persons,"Reporting under Foreign Exchange Management Act, 1999 – Returns pertaining to Foreign Exchange Management (Guarantees) Regulations, 2026",
RBI/2026-27/01,2026-04-01,DOR,Small Finance Banks; Payments Banks; Local Area Banks; Regional Rural Banks; Urban Co-operative Banks; Rural Co-operative Banks; Commercial Banks; Non-Banking Financial Companies; Asset Reconstruction Companies; All India Financial Institutions,"The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions","Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Listing of 01 Entry",
RBI/2025-26/263,2026-03-31,DOR,,,"Reserve Bank of India (Trade Relief Measures) Directions, 2026",
RBI/2025-26/264,2026-03-30,FIDD,,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation of new district in the State of Goa – Assignment of Lead Bank Responsibility,
RBI/2025-26/262,2026-03-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Financial Statements: Presentation and Disclosures) – Second Amendment Directions, 2026 (Revised)",
RBI/2025-26/261,2026-03-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026 (Revised)",
RBI/2025-26/260,2026-03-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks - Concentration Risk Management) Amendment Directions, 2026 (Revised)",
RBI/2025-26/259,2026-03-30,DOR,Small Finance Banks,,"Reserve Bank of India (Small Finance Banks – Credit Facilities) Amendment Directions, 2026 (Revised)",
